sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1655203621.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655203621.058718",0,0,1655203621,0,0,canceled,"0.213",,,,,,,,,,,
"1655207220.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655207220.546768",0,0,1655207220,0,0,canceled,"0.199",,,,,,,,,,,
"1655210821.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655210821.047505",0,0,1655210821,0,0,canceled,"0.23700000000000002",,,,,,,,,,,
"1655214421.15","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655214421.160942",0,0,1655214421,0,0,canceled,"0.20600000000000002",,,,,,,,,,,
"1655220198.20","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655220198.304869",0,0,1655220198,0,0,canceled,"0.20400000000000001",,,,,,,,,,,
"1655279220.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655279220.554355",0,0,1655279220,0,0,canceled,"0.199",,,,,,,,,,,
"1655282820.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655282820.935153",0,0,1655282820,0,0,canceled,"0.197",,,,,,,,,,,
"1655311463.13","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655311463.450581",0,0,1655311463,0,0,canceled,"0.20800000000000002",,,,,,,,,,,
"1655311464.14","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655311464.411279",0,0,1655311464,0,0,canceled,"0.186",,,,,,,,,,,
"1655311620.15","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655311620.625237",0,0,1655311620,0,0,canceled,"0.25",,,,,,,,,,,
"1655365620.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655365620.770285",0,0,1655365620,0,0,canceled,"0.20500000000000002",,,,,,,,,,,
"1655377816.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655377816.396670",0,0,1655377816,0,0,canceled,"0.187",,,,,,,,,,,
"1655380020.6","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655380020.760962",0,0,1655380020,0,0,canceled,"0.203",,,,,,,,,,,
"1655383620.11","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655383620.381975",0,0,1655383620,0,0,canceled,"0.256",,,,,,,,,,,
"1655711041.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655711041.599698",0,0,1655711041,0,0,canceled,"0.509",,,,,,,,,,,
"1655711043.13","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655711043.127567",0,0,1655711043,0,0,canceled,"0.307",,,,,,,,,,,
"1655711221.47","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655711221.079681",0,0,1655711221,0,0,canceled,"0.194",,,,,,,,,,,
"1655714820.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655714820.579989",0,0,1655714820,0,0,canceled,"0.20800000000000002",,,,,,,,,,,
